ID,Name,Likes,Meal Type,Cuisines,N_ingredients,WW Smart Points,Calories (Amount),Calories (Unit),Calories (% of Daily Needs),Saturated Fat (Amount),Saturated Fat (Unit),Saturated Fat (% of Daily Needs),Sugar (Amount),Sugar (Unit),Sugar (% of Daily Needs),Sodium (Amount),Sodium (Unit),Sodium (% of Daily Needs),Protein (Amount),Protein (Unit),Protein (% of Daily Needs),Carbohydrates
655043,PB Cup Stuffed Brownie Bites,57,['dessert'],['American'],9,6,148.67,kcal,7.43,2.44,g,15.24,15.27,g,16.97,105.1,mg,4.57,4.13,mg,1.38,20g
639492,Cinnamon Twists,9,['dessert'],[],6,8,192.65,kcal,9.63,3.23,g,20.21,15.12,g,16.8,251.9,mg,10.95,1.71,g,3.42,15g
647261,Honey Nut Raspberry Baked Oatmeal,9,"['morning meal', 'brunch', 'breakfast']",[],7,8,249.79,kcal,12.49,0.96,g,5.99,18.33,g,20.37,23.03,mg,1.0,0.24,g,1.34,41g
655687,Peppermint White Chocolate Fudge,2,['dessert'],"['Central American', 'Caribbean']",5,21,420.81,kcal,21.04,9.99,g,62.46,53.47,g,59.41,118.74,mg,5.16,2.64,g,5.28,55g
655412,Pear Cardamom Flip Cocktail,6,"['beverage', 'drink']",[],18,53,1070.25,kcal,53.51,0.08,g,0.51,206.66,g,229.62,138.78,mg,6.03,33.28,g,184.91,214g
637055,Caramelized cranberries coconut pancakes,2,"['morning meal', 'brunch', 'breakfast']",[],10,18,442.38,kcal,22.12,21.69,g,135.56,7.52,g,8.36,542.26,mg,23.58,0.29,g,1.61,41g
654614,Pappa Al Pomodoro,3,"['lunch', 'main course', 'main dish', 'dinner']","['Mediterranean', 'Italian', 'European']",10,34,1285.93,kcal,64.3,11.75,g,73.42,22.94,g,25.49,815.33,mg,35.45,52.61,g,105.22,89g
634854,Berry Fruit Crumble,18,['dessert'],[],9,3,178.29,kcal,8.91,1.33,g,8.3,16.2,g,18.0,58.91,mg,2.56,2.48,g,4.97,24g
645479,Green Monster Ice Pops,19,['dessert'],[],6,2,109.29,kcal,5.46,0.77,g,4.79,9.37,g,10.41,92.11,mg,4.0,1.72,g,3.44,14g
642129,Easy To Make Spring Rolls,22,"['fingerfood', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Vietnamese', 'Asian']",16,3,166.24,kcal,8.31,0.15,g,0.95,9.94,g,11.04,1247.01,mg,54.22,13.62,g,27.25,29g
1043339,"Skillet Sweet Potato Casserole with Bacon, Brown Sugar Crumble",28,['side dish'],['American'],6,8,351.45,kcal,17.57,5.66,g,35.39,5.86,g,6.51,235.64,mg,10.25,6.28,g,12.56,33g
651190,Masala-Tofu Burger,2,"['lunch', 'main course', 'main dish', 'dinner']",['American'],25,12,495.54,kcal,24.78,1.85,g,11.54,17.46,g,19.39,1527.71,mg,66.42,18.79,g,37.57,85g
633998,Banana Blueberry Pancakes,3,"['morning meal', 'brunch', 'breakfast']",[],8,4,173.69,kcal,8.68,7.09,g,44.29,9.47,g,10.53,43.51,mg,1.89,4.26,g,8.52,19g
1160166,How to Make an Amazing Chicken Salad with Apples and Celery,5,"['lunch', 'main course', 'main dish', 'dinner']",[],7,13,593.31,kcal,29.67,6.8,g,42.48,7.07,g,7.85,812.77,mg,35.34,60.08,g,120.16,17g
715447,Easy Vegetable Beef Soup,130,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],21,14,565.92,kcal,28.3,7.71,g,48.17,11.62,g,12.91,1904.11,mg,82.79,45.43,g,90.86,55g
650231,Loaded Baked Potato Soup with Crispy-Fried Potato Skins,25,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",[],11,16,471.26,kcal,23.56,13.65,g,85.29,4.26,g,4.73,597.02,mg,25.96,17.47,g,34.95,38g
660266,Slow Cooked Corned Beef and Cabbage,33,"['lunch', 'main course', 'main dish', 'dinner']","['European', 'Irish']",11,10,405.33,kcal,20.27,6.61,g,41.32,6.15,g,6.84,2013.8,mg,87.56,24.89,g,49.78,29g
639413,Cilantro Lime Fish Tacos,4,"['lunch', 'main course', 'main dish', 'dinner']",['Mexican'],10,13,455.84,kcal,22.79,5.81,g,36.3,4.03,g,4.48,616.1,mg,26.79,28.53,g,57.05,33g
659513,Savoy Cabbage and Celery Root Soup with Leek Confit,2,"['antipasti', 'soup', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]",[],16,5,183.5,kcal,9.17,1.75,g,10.92,5.92,g,6.57,1199.17,mg,52.14,5.22,g,10.45,27g
644810,Gluten Free Cinnamon Apple Muffins,5,"['morning meal', 'brunch', 'breakfast']",[],9,1,52.92,kcal,2.65,0.4,g,2.53,7.22,g,8.02,16.92,mg,0.74,1.55,g,3.09,9g
649856,Lemonade Bundt Cake,30,['dessert'],[],8,13,298.5,kcal,14.93,3.21,g,20.06,31.35,g,34.83,388.88,mg,16.91,3.93,g,7.86,55g
634191,Banana Split Sundae Ice Cream Cake,18,['dessert'],[],10,18,448.42,kcal,22.42,11.77,g,73.53,27.53,g,30.59,134.02,mg,5.83,5.91,g,11.81,59g
715424,The Best Chili,32767,"['lunch', 'soup', 'main course', 'main dish', 'dinner']",['American'],16,6,482.48,kcal,24.12,5.33,g,33.31,12.55,g,13.95,711.5,mg,30.93,57.75,g,115.49,35g
641650,Dried Cherry-Almond Scones,2,"['morning meal', 'dessert', 'brunch', 'breakfast']","['English', 'Scottish', 'British', 'European']",10,6,216.83,kcal,10.84,3.11,g,19.44,5.74,g,6.38,197.73,mg,8.6,5.54,g,11.09,32g
662968,Tempered Spicy Potatoes,3,['side dish'],[],9,5,172.42,kcal,8.62,0.19,g,1.2,5.82,g,6.47,214.26,mg,9.32,4.87,g,9.74,36g
637824,Chewy Gingersnaps,27,['dessert'],[],13,3,79.19,kcal,3.96,1.64,g,10.27,8.63,g,9.58,69.0,mg,3.0,0.74,g,1.47,12g
661633,Sticky Toffee Pudding,2,['dessert'],[],13,30,799.78,kcal,39.99,21.75,g,135.95,99.46,g,110.51,405.7,mg,17.64,5.65,g,11.31,121g
642138,Easy Vegetable Fried Rice,13,"['side dish', 'antipasti', 'starter', 'snack', 'appetizer', 'antipasto', ""hor d'oeuvre""]","['Chinese', 'Asian']",16,6,470.13,kcal,23.51,3.18,g,19.86,5.17,g,5.74,1064.82,mg,46.3,13.68,g,27.36,79g
639177,Chocolate Pudding - Rave Diet,3,['dessert'],[],6,15,382.61,kcal,19.13,1.79,g,11.2,33.87,g,37.63,14.35,mg,0.62,0.46,g,2.55,51g
